X	Y
0	8679.289
1	8759.711
2	8804.911
3	8779.223
4	8715.178
5	8646.134
6	8562.223
7	8507.733
8	8473.378
9	8508.511
10	8533.223
11	8488.688
12	8457.467
13	8445.822
14	8456.955
15	8419.312
16	8323.134
17	8299.688
18	8322.889
19	8359.312
20	8391.312
21	8382.267
22	8339.822
23	8298.822
24	8261.533
25	8315.244
26	8295.066
27	8293.688
28	8287.467
29	8290.155
30	8274.244
31	8246.955
32	8208.267
33	8196.511
34	8171.755
35	8172.511
36	8126.378
37	8131.933
38	8153.867
39	8181.467
40	8150.533
41	8168.645
42	8207.511
43	8272.934
44	8272.866
45	8243.777
46	8249.955
47	8174.489
48	8173.178
49	8097.489
50	8098.978
51	8023.956
52	7946.355
53	7898.867
54	7936.800
55	7977.911
56	7967.333
57	7951.778
58	7919.556
59	7902.245
60	7887.400
61	7905.400
62	7956.200
63	7955.422
64	7995.533
65	8027.489
66	8046.289
67	8100.044
68	8130.000
69	8155.933
70	8177.711
71	8221.022
72	8272.978
73	8289.045
74	8334.777
75	8376.223
76	8423.955
77	8487.378
78	8607.777
79	8701.022
80	8769.622
81	8723.178
82	8696.733
83	8679.533
84	8763.978
85	8811.711
86	8853.800
87	8901.800
88	8943.134
89	8889.489
90	8854.045
91	8898.489
92	8986.267
93	9031.688
94	9009.756
95	9025.400
96	9035.312
97	9089.911
98	9076.022
99	9048.866
100	8999.000
101	9019.756
102	9070.777
103	9033.600
104	9035.934
105	8990.511
106	8980.200
107	8960.444
108	8973.223
109	8986.556
110	8936.688
111	8929.467
112	8919.400
113	8971.955
114	8917.822
115	8923.645
116	8915.866
117	8976.267
118	8967.978
119	8968.978
120	8959.866
121	8981.622
122	8953.645
123	8937.244
124	8923.556
125	8901.800
126	8893.422
127	8867.422
128	8855.444
129	8811.444
130	8888.955
131	8879.556
132	8856.777
133	8747.866
134	8738.045
135	8764.312
136	8796.889
137	8803.600
138	8807.267
139	8828.600
140	8853.978
141	8844.667
142	8812.378
143	8814.866
144	8769.667
145	8746.822
146	8691.733
147	8740.622
148	8744.556
149	8741.267
150	8708.489
151	8682.333
152	8675.556
153	8678.756
154	8666.267
155	8664.045
156	8665.688
157	8643.800
158	8665.066
159	8600.400
160	8591.711
161	8579.934
162	8640.333
163	8708.600
164	8660.244
165	8606.333
166	8559.111
167	8571.355
168	8589.111
169	8607.267
170	8618.223
171	8632.000
172	8612.889
173	8610.066
174	8536.444
175	8468.667
176	8420.111
177	8428.312
178	8434.800
179	8430.622
180	8457.111
