X	Y
0	5880.511
1	5894.933
2	5906.355
3	5947.444
4	6004.245
5	6030.800
6	6073.889
7	6100.733
8	6141.000
9	6217.222
10	6258.556
11	6294.422
12	6281.689
13	6332.156
14	6380.044
15	6452.889
16	6491.000
17	6563.578
18	6621.933
19	6675.778
20	6702.578
21	6751.333
22	6813.422
23	6862.400
24	6895.422
25	6944.667
26	6997.444
27	7059.844
28	7147.156
29	7234.733
30	7295.245
31	7307.178
32	7385.844
33	7420.067
34	7485.133
35	7505.000
36	7585.578
37	7642.222
38	7742.000
39	7803.400
40	7854.378
41	7896.733
42	7950.511
43	8025.645
44	8073.044
45	8166.022
46	8248.556
47	8322.155
48	8384.911
49	8466.556
50	8564.312
51	8633.444
52	8705.178
53	8761.155
54	8873.223
55	8950.600
56	9071.289
57	9143.955
58	9239.911
59	9284.533
60	9333.200
61	9422.178
62	9504.889
63	9643.200
64	9777.489
65	9896.066
66	9967.223
67	10017.333
68	10156.378
69	10260.045
70	10376.312
71	10516.444
72	10763.756
73	11069.667
74	11305.422
75	11432.800
76	11588.845
77	11791.822
78	12074.111
79	12307.289
80	12506.800
81	12669.200
82	12785.312
83	12974.089
84	13162.866
85	13332.889
86	13452.866
87	13647.733
88	13824.400
89	14032.312
90	14199.467
91	14402.200
92	14429.978
93	14498.022
94	14473.333
95	14612.889
96	14705.756
97	14869.244
98	15054.267
99	15101.711
100	15151.578
101	15201.533
102	15346.422
103	15533.200
104	15689.400
105	15726.111
106	15732.178
107	15661.111
108	15667.200
109	15766.289
110	15845.267
111	16037.022
112	16052.645
113	16026.911
114	15945.089
115	15936.777
116	16077.134
117	16153.777
118	16331.533
119	16261.378
120	16333.045
121	16262.134
122	16386.268
123	16424.000
124	16410.488
125	16425.756
126	16358.822
127	16460.156
128	16437.377
129	16531.801
130	16492.555
131	16474.021
132	16552.777
133	16553.311
134	16599.355
135	16489.645
136	16552.178
137	16736.400
138	16830.555
139	16881.555
140	16771.090
141	16781.867
142	16799.156
143	16978.867
144	17070.867
145	17137.512
146	17112.445
147	17075.244
148	17033.199
149	17033.289
150	16999.223
151	17073.756
152	17112.889
153	17258.889
154	17107.732
155	17026.689
156	17072.000
157	17349.311
158	17470.445
159	17543.133
160	17530.889
161	17325.889
162	17194.600
163	17088.199
164	17141.268
165	17096.045
166	17020.732
167	17117.066
168	17303.711
169	17383.199
170	17505.756
171	17431.777
172	17503.889
173	17533.045
174	17686.689
175	17774.979
176	17651.244
177	17535.066
178	17508.467
179	17583.979
180	17600.623
181	17490.934
182	17396.488
183	17421.445
184	17537.623
185	17723.223
186	17762.311
187	17857.445
188	17742.801
189	17704.111
190	17648.488
191	17883.111
192	17938.867
193	17986.133
194	17781.822
195	17693.133
196	17493.844
197	17495.377
198	17433.689
199	17460.244
200	17282.756
201	17201.156
202	17220.955
203	17365.289
204	17658.801
205	17658.066
206	17619.889
207	17393.000
208	17357.156
209	17369.199
210	17255.355
211	17229.066
212	17171.844
213	17245.623
214	17187.045
215	17126.533
216	16975.555
217	16919.334
218	16834.445
219	16831.777
220	16844.822
221	16812.955
222	16636.689
223	16472.600
224	16450.156
225	16574.955
226	16744.555
227	16671.844
228	16666.467
229	16562.066
230	16636.244
231	16554.090
232	16376.889
233	16315.889
234	16311.444
235	16437.199
236	16469.178
237	16523.666
238	16499.422
239	16501.934
240	16449.467
241	16403.777
242	16404.066
243	16491.844
244	16461.889
245	16203.223
246	16007.444
247	15899.355
248	15755.934
249	15661.845
250	15687.066
251	15974.289
252	16056.556
253	16206.200
254	16156.155
255	16201.578
256	16066.733
257	16086.200
258	15981.289
259	15904.045
260	15793.111
261	15785.134
262	15813.667
263	15903.756
264	15978.556
265	15964.866
266	15890.688
267	15822.978
268	15826.467
269	15753.889
270	15738.289
271	15650.822
272	15631.777
273	15570.711
274	15611.645
275	15655.600
276	15646.556
277	15526.312
278	15440.178
279	15325.045
280	15442.444
281	15426.045
282	15430.622
283	15203.000
284	15141.223
285	15085.578
286	15110.822
287	15033.645
288	15009.489
289	15105.756
290	15105.889
291	15150.889
292	15083.400
293	15088.267
294	14947.845
295	14879.355
296	14839.333
297	14905.800
298	14901.533
299	14819.000
300	14732.955
301	14674.333
302	14690.267
303	14708.934
304	14761.756
305	14695.645
306	14670.223
307	14652.378
308	14730.600
309	14769.911
310	14725.533
311	14660.645
312	14542.889
313	14507.622
314	14466.889
315	14425.733
316	14303.556
317	14248.045
318	14250.756
319	14206.400
320	14164.866
321	14044.134
322	13968.645
323	13887.511
324	13897.845
325	13909.800
326	13823.289
327	13689.111
328	13592.422
329	13508.400
330	13417.667
331	13275.267
332	13250.600
333	13348.622
334	13321.400
335	13302.089
336	13171.267
337	13124.378
338	13036.422
339	12942.800
340	12928.622
341	12872.578
342	12869.756
343	12866.533
344	12864.066
345	12676.066
346	12508.089
347	12473.667
348	12478.911
349	12421.045
350	12225.800
351	12211.422
352	12180.111
353	12240.556
354	12210.600
355	12244.711
356	12233.556
357	12173.289
358	12114.800
359	12043.955
360	11996.866
361	11895.134
362	11836.378
363	11867.200
364	11963.733
365	12092.333
366	12274.934
367	12224.533
368	12045.000
369	11821.533
370	11748.134
371	11704.978
372	11697.022
373	11606.045
374	11502.578
375	11366.422
376	11422.400
377	11459.355
378	11516.667
379	11433.622
380	11390.777
381	11304.978
382	11225.889
383	11162.467
384	11135.066
385	11163.467
386	11173.289
387	11111.845
388	11068.000
389	10987.289
390	10944.578
391	10856.178
392	10807.178
393	10784.422
394	10815.155
395	10858.866
396	10830.845
397	10775.756
398	10657.688
399	10639.267
400	10622.733
401	10613.378
402	10567.022
403	10455.911
404	10402.889
405	10384.355
406	10424.444
407	10418.688
408	10356.578
409	10266.289
410	10187.355
411	10104.267
412	10075.800
413	10064.955
414	10069.378
415	10051.600
416	10012.756
417	10040.511
418	9992.444
419	9930.267
420	9823.022
421	9784.866
422	9788.444
423	9773.688
424	9756.578
425	9745.955
426	9689.889
427	9666.978
428	9602.089
429	9535.289
430	9529.866
431	9514.822
432	9545.467
433	9482.645
434	9455.667
435	9368.223
436	9328.333
437	9307.267
438	9274.733
439	9243.578
440	9180.244
441	9151.134
442	9101.467
443	9061.467
444	9084.355
445	9104.289
446	9082.688
447	8997.355
448	8905.911
449	8875.711
450	8905.978
451	8899.845
452	8916.312
453	8882.289
454	8875.066
455	8849.600
456	8822.155
457	8808.289
458	8735.355
459	8701.467
460	8633.688
461	8619.711
462	8581.911
463	8591.155
464	8548.489
465	8546.622
466	8531.556
467	8554.244
468	8520.777
469	8444.223
470	8419.978
471	8386.289
472	8366.889
473	8300.578
474	8280.866
475	8256.178
476	8193.578
477	8182.222
478	8196.645
479	8233.400
480	8188.489
481	8159.355
482	8132.178
483	8056.755
484	8004.956
485	7963.156
486	7984.800
487	7963.689
488	7928.911
489	7889.978
490	7861.200
491	7843.156
492	7827.755
493	7806.667
494	7805.222
495	7792.333
496	7765.111
497	7676.889
498	7578.755
499	7535.000
500	7548.089
